locality_pid,gnaf_locality_pid,date_created,date_retired,locality_name,postcode,locality_class
VIC1324,250178188,27/4/12,,KERANG EAST,3579,GAZETTED LOCALITY
VIC1325,250185190,27/4/12,,KERGUNYAH,3691,GAZETTED LOCALITY
VIC1326,250190865,29/10/12,,KERGUNYAH SOUTH,3691,GAZETTED LOCALITY
VIC1327,250185191,8/8/16,,KERNOT,3979,GAZETTED LOCALITY
VIC1328,250185192,27/4/12,,KERRIE,3434,GAZETTED LOCALITY
VIC1329,250185193,1/11/17,,KERRISDALE,3660,GAZETTED LOCALITY
VIC1330,250185194,27/4/12,,KEVINGTON,3723,GAZETTED LOCALITY
VIC1331,250185195,27/4/12,,KEW,3101,GAZETTED LOCALITY
VIC1332,250185196,27/4/12,,KEW EAST,3102,GAZETTED LOCALITY
VIC1333,250178196,27/4/12,,KEWELL,3390,GAZETTED LOCALITY
VIC1334,250185197,27/4/12,,KEYSBOROUGH,3173,GAZETTED LOCALITY
VIC1335,250185198,9/8/17,,KIALLA,3631,GAZETTED LOCALITY
VIC1336,250185199,27/4/12,,KIALLA EAST,3631,GAZETTED LOCALITY
VIC1337,250185200,27/4/12,,KIALLA WEST,3631,GAZETTED LOCALITY
VIC1338,250185201,27/4/12,,KIATA,3418,GAZETTED LOCALITY
VIC1339,250185202,27/4/12,,KIEWA,3691,GAZETTED LOCALITY
VIC1340,250185203,27/4/12,,KILCUNDA,3995,GAZETTED LOCALITY
250190833,250190833,3/2/12,,KILLARA,3311,UNOFFICIAL SUBURB
VIC2959,250190949,27/4/12,,KILLARA,3312,GAZETTED LOCALITY
VIC2965,250185204,27/4/12,,KILLARA,3691,GAZETTED LOCALITY
VIC1343,250185205,9/11/15,,KILLARNEY,3283,GAZETTED LOCALITY
VIC1344,250185206,27/4/12,,KILLAWARRA,3678,GAZETTED LOCALITY
VIC1345,250185207,27/4/12,,KILLINGWORTH,3717,GAZETTED LOCALITY
VIC1346,250178208,3/2/18,,KILMANY,3851,GAZETTED LOCALITY
VIC1347,250185208,27/4/12,,KILMORE,3764,GAZETTED LOCALITY
VIC1348,250185209,27/4/12,,KILMORE EAST,3764,GAZETTED LOCALITY
VIC1349,250185210,8/11/16,,KILSYTH,3137,GAZETTED LOCALITY
VIC1350,250185211,27/4/12,,KILSYTH SOUTH,3137,GAZETTED LOCALITY
VIC1351,250185212,9/11/15,,KIMBOLTON,3551,GAZETTED LOCALITY
VIC1352,250185213,27/4/12,,KING VALLEY,3678,GAZETTED LOCALITY
VIC1353,250185214,1/11/17,,KINGLAKE,3763,GAZETTED LOCALITY
VIC1354,250185215,27/4/12,,KINGLAKE CENTRAL,3757,GAZETTED LOCALITY
VIC1355,250185216,27/4/12,,KINGLAKE WEST,3757,GAZETTED LOCALITY
VIC1356,250178218,27/4/12,,KINGOWER,3517,GAZETTED LOCALITY
VIC1357,250185217,27/4/12,,KINGS PARK,3021,GAZETTED LOCALITY
VIC1358,250185218,27/4/12,,KINGSBURY,3083,GAZETTED LOCALITY
VIC1359,250185219,1/11/17,,KINGSTON,3364,GAZETTED LOCALITY
VIC1360,250185220,27/4/12,,KINGSVILLE,3012,GAZETTED LOCALITY
VIC1361,250185221,27/4/12,,KINNABULLA,3483,GAZETTED LOCALITY
VIC1362,250178224,27/4/12,,KINYPANIAL,3520,GAZETTED LOCALITY
VIC1363,250185222,27/4/12,,KIRKSTALL,3283,GAZETTED LOCALITY
VIC1364,250185223,8/11/16,,KIRWANS BRIDGE,3608,GAZETTED LOCALITY
VIC1365,250178227,9/11/15,,KITHBROOK,3666,GAZETTED LOCALITY
VIC1366,250185224,27/4/12,,KNEBSWORTH,3286,GAZETTED LOCALITY
VIC2950,250191014,27/4/12,,KNOCKWOOD,3723,GAZETTED LOCALITY
VIC1367,250185225,2/2/17,,KNOWSLEY,3523,GAZETTED LOCALITY
VIC1368,250185226,27/4/12,,KNOXFIELD,3180,GAZETTED LOCALITY
VIC1369,250185227,27/4/12,,KOALLAH,3260,GAZETTED LOCALITY
VIC1370,250178232,31/10/13,,KOETONG,3704,GAZETTED LOCALITY
VIC1371,250185228,27/4/12,,KOLORA,3265,GAZETTED LOCALITY
VIC1372,250185229,9/8/17,,KONGWAK,3951,GAZETTED LOCALITY
VIC1373,250185230,27/4/12,,KONONGWOOTONG,3315,GAZETTED LOCALITY
VIC1374,250185231,27/4/12,,KOO WEE RUP,3981,GAZETTED LOCALITY
VIC1375,250185232,27/4/12,,KOO WEE RUP NORTH,3981,GAZETTED LOCALITY
VIC1376,250185233,27/4/12,,KOOLOONONG,3597,GAZETTED LOCALITY
VIC1377,250178239,27/4/12,,KOONDA,3669,GAZETTED LOCALITY
VIC1378,250185234,29/10/12,,KOONDROOK,3580,GAZETTED LOCALITY
VIC1379,250185235,29/10/12,,KOONOOMOO,3644,GAZETTED LOCALITY
VIC1380,250185236,3/2/18,,KOONWARRA,3954,GAZETTED LOCALITY
VIC1381,250178243,27/4/12,,KOOREH,3477,GAZETTED LOCALITY
VIC1382,250178244,27/4/12,,KOORLONG,3501,GAZETTED LOCALITY
VIC1383,250185237,27/4/12,,KOORNALLA,3844,GAZETTED LOCALITY
VIC1384,250185238,27/4/12,,KOOROOCHEANG,3364,GAZETTED LOCALITY
VIC1385,250191008,27/4/12,,KOOROOL,3860,GAZETTED LOCALITY
VIC1386,250185239,3/2/18,,KOOROOMAN,3953,GAZETTED LOCALITY
VIC1387,250185240,27/4/12,,KOOYONG,3144,GAZETTED LOCALITY
VIC1388,250185241,3/2/18,,KORIELLA,3714,GAZETTED LOCALITY
VIC1389,250190812,27/4/12,,KOROBEIT,3341,GAZETTED LOCALITY
VIC1390,250185242,27/4/12,,KOROIT,3282,GAZETTED LOCALITY
VIC1391,250185243,27/4/12,,KORONG VALE,3520,GAZETTED LOCALITY
VIC1392,250178252,27/4/12,,KOROOP,3579,GAZETTED LOCALITY
VIC1393,250185244,2/2/17,,KORUMBURRA,3950,GAZETTED LOCALITY
VIC1394,250185245,27/4/12,,KORUMBURRA SOUTH,3950,GAZETTED LOCALITY
VIC1395,250185246,27/4/12,,KORWEINGUBOORA,3461,GAZETTED LOCALITY
VIC1396,250185247,27/4/12,,KOTTA,3565,GAZETTED LOCALITY
VIC1397,250185248,8/11/16,,KOTUPNA,3638,GAZETTED LOCALITY
VIC1398,250185249,27/4/12,,KOYUGA,3622,GAZETTED LOCALITY
VIC1399,250185250,8/8/16,,KROWERA,3945,GAZETTED LOCALITY
VIC1400,250178260,27/4/12,,KULWIN,3490,GAZETTED LOCALITY
VIC1401,250178261,27/4/12,,KUNAT,3585,GAZETTED LOCALITY
VIC1402,250178262,27/4/12,,KURRACA,3518,GAZETTED LOCALITY
VIC1403,250178263,27/4/12,,KURRACA WEST,3518,GAZETTED LOCALITY
VIC1404,250185251,27/4/12,,KURTING,3517,GAZETTED LOCALITY
VIC1405,250185252,9/8/17,,KURUNJANG,3337,GAZETTED LOCALITY
VIC1406,250185255,31/1/14,,KYABRAM,3620,GAZETTED LOCALITY
VIC1407,250185256,27/4/12,,KYABRAM SOUTH,3620,GAZETTED LOCALITY
VIC1408,250185257,27/4/12,,KYNETON,3444,GAZETTED LOCALITY
VIC1409,250185258,27/4/12,,KYNETON SOUTH,3444,GAZETTED LOCALITY
VIC1410,250190950,31/1/14,,KYVALLEY,3621,GAZETTED LOCALITY
VIC1411,250185259,27/4/12,,LAANECOORIE,3463,GAZETTED LOCALITY
VIC1412,250185260,27/4/12,,LAANG,3265,GAZETTED LOCALITY
VIC1413,250185261,3/8/18,,LABERTOUCHE,3816,GAZETTED LOCALITY
VIC1414,250185262,27/4/12,,LACEBY,3678,GAZETTED LOCALITY
VIC1415,250185263,1/11/17,,LADYS PASS,3523,GAZETTED LOCALITY
VIC1416,250178275,27/4/12,,LAEN,3480,GAZETTED LOCALITY
VIC1417,250178276,27/4/12,,LAEN EAST,3480,GAZETTED LOCALITY
VIC1418,250178277,27/4/12,,LAEN NORTH,3480,GAZETTED LOCALITY
VIC1419,250178278,8/8/16,,LAH,3393,GAZETTED LOCALITY
VIC1420,250178279,27/4/12,,LAHARUM,3401,GAZETTED LOCALITY
VIC1421,250185264,27/4/12,,LAKE BOGA,3584,GAZETTED LOCALITY
VIC1422,250185265,1/11/17,,LAKE BOLAC,3351,GAZETTED LOCALITY
VIC1423,250185266,27/4/12,,LAKE BUNGA,3909,GAZETTED LOCALITY
VIC1424,250178283,27/4/12,,LAKE CHARM,3581,GAZETTED LOCALITY
VIC1425,250178284,27/4/12,,LAKE CONDAH,3303,GAZETTED LOCALITY
VIC1426,250185267,27/4/15,,LAKE EILDON,3713,GAZETTED LOCALITY
VIC1427,250178285,27/4/12,,LAKE EPPALOCK,,GAZETTED LOCALITY
VIC1428,250178286,27/4/12,,LAKE FYANS,3381,GAZETTED LOCALITY
VIC1429,250178287,2/2/17,,LAKE GARDENS,3355,GAZETTED LOCALITY
VIC1430,250185268,27/4/12,,LAKE GOLDSMITH,3373,GAZETTED LOCALITY
VIC1431,250178289,27/4/12,,LAKE LONSDALE,3381,GAZETTED LOCALITY
VIC1432,250178290,27/4/12,,LAKE MARMAL,3525,GAZETTED LOCALITY
VIC1433,250178291,27/4/12,,LAKE MERAN,3579,GAZETTED LOCALITY
VIC1434,250178292,27/4/12,,LAKE MUNDI,3312,GAZETTED LOCALITY
VIC1435,250185269,29/10/12,,LAKE POWELL,3597,GAZETTED LOCALITY
VIC1436,250178294,31/1/14,,LAKE ROWAN,3727,GAZETTED LOCALITY
VIC1437,250178295,5/5/16,,LAKE TYERS,3887,GAZETTED LOCALITY
VIC1438,250185270,27/4/12,,LAKE TYERS BEACH,3909,GAZETTED LOCALITY
500224153,,3/8/19,,LAKE TYERS COMMUNITY,,INDIGENOUS LOCATION
VIC1439,250178297,9/8/17,,LAKE TYRRELL,3533,GAZETTED LOCALITY
VIC1440,,3/8/18,,LAKE WELLINGTON,,GAZETTED LOCALITY
VIC1441,250185271,27/4/12,,LAKE WENDOUREE,3350,GAZETTED LOCALITY
VIC1442,250185272,27/4/12,,LAKE WONGAN,3373,GAZETTED LOCALITY
VIC1443,250185273,27/4/12,,LAKES ENTRANCE,3909,GAZETTED LOCALITY
VIC1444,250185274,27/4/12,,LAL LAL,3352,GAZETTED LOCALITY
VIC1445,250185275,27/4/12,,LALBERT,3542,GAZETTED LOCALITY
VIC1446,250185276,29/10/12,,LALOR,3075,GAZETTED LOCALITY
VIC1447,250185277,27/4/12,,LAMPLOUGH,3352,GAZETTED LOCALITY
VIC1448,250185278,27/4/12,,LANCASTER,3620,GAZETTED LOCALITY
VIC1449,250185279,8/8/16,,LANCE CREEK,3995,GAZETTED LOCALITY
VIC1450,250185280,27/4/12,,LANCEFIELD,3435,GAZETTED LOCALITY
VIC1451,250185281,3/2/18,,LANDSBOROUGH,3384,GAZETTED LOCALITY
VIC1452,250185282,27/4/12,,LANDSBOROUGH WEST,3384,GAZETTED LOCALITY
VIC1453,250185283,27/4/12,,LANG LANG,3984,GAZETTED LOCALITY
VIC1454,250185284,27/4/12,,LANG LANG EAST,3984,GAZETTED LOCALITY
VIC1455,250185285,27/4/12,,LANGDONS HILL,3363,GAZETTED LOCALITY
VIC1456,250185286,27/4/12,,LANGI KAL KAL,3352,GAZETTED LOCALITY
VIC1457,250178314,27/4/12,,LANGI LOGAN,3377,GAZETTED LOCALITY
VIC1458,250185287,27/4/12,,LANGKOOP,3318,GAZETTED LOCALITY
VIC1459,250185288,3/8/18,,LANGLEY,3444,GAZETTED LOCALITY
VIC1460,250185289,27/4/12,,LANGSBOROUGH,3971,GAZETTED LOCALITY
VIC1461,250185290,1/11/17,,LANGWARRIN,3910,GAZETTED LOCALITY
VIC1462,250185291,27/4/12,,LANGWARRIN SOUTH,3911,GAZETTED LOCALITY
VIC1463,250185292,9/8/17,,LARA,3212,GAZETTED LOCALITY
VIC1464,250185293,8/11/16,,LARDNER,3821,GAZETTED LOCALITY
VIC1465,250185294,3/8/18,,LARPENT,3249,GAZETTED LOCALITY
